title,price,product_id
NIVEA Care & Coconut Hydration Body Wash,4.97,6000197821683
Nivea Care & Roses Body Wash,4.97,6000016951144
Dial Spring Water Body Wash 473mL,3.97,6000201619317
St. Ives Pink Lemon & Mandarin Orange Body Wash,4.97,6000200925644
adidas After Sport 3-in-1 Body Wash,3.97,6000192057756
Dial Soy & Almond Milk Body Wash 473mL,3.97,6000016940010
Dove Original Deep Moisture Beauty Bar,8.97,6000200703319
Nivea Care & Diamond Body Wash,4.97,6000061218744
Nivea Creme Soft Body Wash,4.97,6000016950174
Nivea Care & Orange Body Wash,4.97,6000016951177
"Irish Spring Original Clean Body Wash for Men, 591 mL",3.97,6000204691104
Dial Marula Oil Body Wash 473mL,3.97,6000201619311
"Ivory Mild & Gentle Body Wash, Original Scent",6.47,PRD2OF8YOB3T2DT
NIVEA Care & Aloe Hydration Body Wash,4.97,6000088768448
Dove Deep Moisture Body Wash,5.47,6000053639283
